Date,Open,High,Low,Close,Adj Close,Volume
2015-02-11,80.720001,81.370003,80.320000,80.940002,67.059502,2560991
2015-02-12,80.980003,83.190002,80.930000,82.699997,68.517677,3425439
2015-02-13,83.339996,84.129997,82.949997,83.250000,68.973358,3489820
2015-02-16,83.250000,83.849998,82.610001,82.809998,68.608803,2309228
2015-02-17,82.010002,82.820000,81.209999,82.239998,68.136559,2879715
2015-02-18,82.669998,83.190002,82.260002,82.930000,68.708229,1730949
2015-02-19,82.669998,83.080002,82.010002,82.709999,68.525963,2486405
2015-02-20,82.510002,83.580002,82.070000,83.489998,69.172188,5231037
2015-02-23,84.480003,84.680000,83.089996,83.559998,69.230186,2633971
2015-02-24,83.559998,84.970001,83.389999,84.610001,70.100136,2368072
2015-02-25,84.620003,85.239998,84.470001,85.120003,70.522659,3240352
2015-02-26,85.400002,87.019997,85.220001,87.019997,72.096825,4310677
2015-02-27,86.730003,87.000000,83.639999,85.650002,70.961777,6092086
2015-03-02,85.699997,86.300003,85.269997,85.779999,71.069481,2915093
2015-03-03,85.699997,86.779999,85.250000,85.250000,70.630379,3019762
2015-03-04,85.500000,85.849998,84.300003,85.849998,71.127472,2538696
2015-03-05,86.099998,87.570000,85.550003,87.360001,72.378517,3413495
2015-03-06,87.769997,88.500000,87.250000,88.169998,73.049606,2828441
2015-03-09,87.820000,88.620003,87.750000,88.470001,73.298164,2265601
2015-03-10,88.110001,88.120003,86.639999,87.400002,72.411667,2687755
2015-03-11,87.860001,90.620003,87.699997,90.480003,74.963478,3497434
2015-03-12,90.500000,90.709999,89.790001,90.000000,74.565788,2356634
2015-03-13,90.199997,90.650002,89.379997,90.529999,75.004898,2491402
2015-03-16,90.870003,93.309998,90.690002,92.750000,76.844193,3234026
2015-03-17,92.739998,92.970001,90.709999,91.150002,75.518578,3252302
2015-03-18,91.099998,91.480003,88.430000,90.610001,75.071182,4184814
2015-03-19,90.430000,92.180000,89.190002,89.930000,74.507797,3714568
2015-03-20,90.300003,92.550003,90.120003,92.330002,76.496216,6945820
2015-03-23,92.050003,92.099998,90.570000,91.449997,75.767120,2306218
2015-03-24,91.000000,92.800003,90.629997,92.680000,76.786194,2211532
2015-03-25,92.900002,92.900002,90.910004,90.919998,75.328018,2576570
2015-03-26,90.000000,91.500000,89.660004,91.500000,75.808548,3525351
2015-03-27,92.129997,92.580002,91.169998,92.070000,76.280800,2985544
2015-03-30,92.449997,94.389999,92.360001,94.300003,78.128380,2910062
2015-03-31,94.000000,94.709999,92.550003,92.550003,76.678497,3411753
2015-04-01,91.820000,94.400002,91.290001,93.250000,77.258438,2991121
2015-04-02,93.180000,93.290001,92.110001,92.639999,76.753059,1959827
2015-04-07,93.989998,95.500000,93.730003,95.070000,78.766327,2845643
2015-04-08,95.070000,95.449997,93.830002,94.000000,77.879822,2109184
2015-04-09,94.180000,95.019997,94.070000,95.019997,78.724892,1688735
2015-04-10,95.389999,97.220001,95.199997,96.720001,80.133369,2760089
2015-04-13,96.800003,96.860001,95.889999,95.889999,79.445702,1951417
2015-04-14,95.510002,95.910004,94.349998,94.839996,78.575760,2551035
2015-04-15,95.019997,95.870003,94.059998,94.860001,78.592339,2081958
2015-04-16,94.599998,94.650002,90.629997,91.349998,75.684273,4960699
2015-04-17,90.099998,91.989998,89.169998,89.180000,73.886414,5487119
2015-04-20,90.029999,92.129997,89.849998,92.029999,76.247658,2924135
